id,feat_0,feat_1
P_daniel rizzo jefferies,0,0
P_salvator tiano,0,0
P_anojja shah,0,0
P_arun viswanathan,0,0
P_connor robbins goldman sachs,0,0
P_connor robbins,0,0
P_bemis asia pacific,0,0
P_jerry krempa,0,0
P_mike clauer,0,0
P_brian maguire,0,0
P_daniel rizzo,0,0
P_john brunetti,0,0
P_bavhi shah,0,0
P_ketan shah,0,0
P_sachin ravikumar,0,0
P_shanti s nair,0,0
P_hofesh shechter,0,0
P_christopher wheeldon,0,0
P_justin peck,0,0
P_jodi bender,0,0
P_yao ababio,0,0
P_william forsythe,0,0
P_asase yaa,0,0
P_jerome robbins,0,0
P_max richter,0,0
P_jennifer lafferty,0,0
P_mauro bigonzetti,0,0
P_jimena paz,0,0
P_david h koch,0,0
P_troy powell,0,0
P_mina nishimura,0,0
P_crystal pite,0,0
P_kyle abraham,0,0
P_alvin ailey,0,0
P_james thierr,0,0
P_selina wang,0,0
P_carlos monje,0,0
P_jillian ward,0,0
P_sarah frier,0,0
P_alistair barr,0,0
P_matthew berry,0,0
P_robert wilkins,0,0
P_santa clara,0,0
P_patricia millett,0,0
P_stephen f williams,0,0
P_ajit pai,0,0
P_bob hurwitz,0,0
P_wagner tristan,0,0
P_john adams,0,0
P_isoldes liebestod,0,0
P_carlinhos brown,0,0
P_charles bradley,0,0
P_jimmy cobb,0,0
P_arnaldo antunes,0,0
P_angelique kidjo,0,0
P_jon batiste,0,0
P_freddie hubbard,0,0
P_liberty ellman,0,0
P_philip glass,0,0
P_nathaniel rateliff,0,0
P_chris stapleton,0,0
P_ian kenselaar,0,0
P_savannah harris,0,0
P_tenzin choegyal,0,0
P_jeremy corren,0,0
P_debbie harry,0,0
P_jeremy dutton,0,0
P_damon mcmahon,0,0
P_laurie anderson,0,0
P_dan auerbach,0,0
P_sarah vaughan,0,0
P_david murray,0,0
P_jacob blickenstaff,0,0
P_miles davis,0,0
P_marisa monte,0,0
P_tarrus riley,0,0
P_immanuel wilkins,0,0
P_kanoa mendenhall,0,0
P_patti smith,0,0
P_jason isbell,0,0
P_john webber,0,0
P_john coltrane,0,0
P_angel olsen,0,0
P_bernard sumner,0,0
P_peter bernstein,0,0
P_kelan philip cohran,0,0
P_fay victor,0,0
P_sean paul,0,0
P_miranda lambert,0,0
P_giovanni bruno mattiet,0,0
P_viva litalia,0,0
P_giuseppe cacioppo,0,0
P_dusan makavejev,0,0
P_erland josephson,0,0
P_susan anspach,0,0
P_marija nikolic radonjic,0,0
P_vincent canby,0,0
P_jay carr,0,0
P_wilhelm reich,0,0
P_mathieu rosemain,0,0
P_sudip kar-gupta,0,0
P_mark potter,0,0
P_sebastien soriano,0,0
P_gilles guillaume,0,0
P_altice europe,0,0
P_le figaro,0,0
P_benjamin netanyahu,0,0
P_henry miller,0,0
P_kara walker,0,0
P_jatovia gary,0,0
P_richard avedon,0,0
P_beauford delaney,0,0
P_cameron rowland,0,0
P_james baldwin jim brown,0,0
P_david baldwin,0,0
P_marian anderson,0,0
P_david zwirner,0,0
