id,feat_0,feat_1
O_university of minas gerais,0,0
O_u n human rights council,0,0
O_minas gerais fire department,0,0
O_restaurant group,0,0
O_webuildthewall inc,0,0
O_university of hawaii,0,0
O_facebook head of agency,0,0
O_running an store,0,0
O_monroe county sheriff office,0,0
O_harvard university,0,0
O_health services corps,0,0
O_york university school of medicine,0,0
O_world medical association,0,0
O_national assembly,0,0
O_chevron,0,0
O_motorcycle marketing communications at american honda,0,0
O_honda,0,0
O_wayne state university,0,0
O_stanford law school,0,0
O_bloomberg huawei technologies co,0,0
O_us inc,0,0
O_trump administration,0,0
O_u s district court,0,0
O_u s treasury department,0,0
O_huawei device co ltd,0,0
O_navigant consulting inc,0,0
O_jackie robinson foundation,0,0
O_negro league kansas city monarchs,0,0
O_museum of the city of new york,0,0
O_freedom national bank,0,0
O_major league baseball,0,0
O_national league most valuable player,0,0
O_jackie robinson museum,0,0
O_branch rickey,0,0
O_jumbo transport incorporated,0,0
O_television network,0,0
O_incest network,0,0
O_klingon high council,0,0
O_white house in team of vipers,0,0
O_international criminal court,0,0
O_friends animal society,0,0
O_subaru,0,0
O_starbucks,0,0
O_world trade organization,0,0
O_wsbtv,0,0
O_players association,0,0
O_espn,0,0
O_japanese embassy,0,0
O_champions league,0,0
O_sports network,0,0
O_big six of the premier league,0,0
O_europa league,0,0
O_serbian progressive party,0,0
O_british east india company,0,0
O_trump organization,0,0
O_council in europe,0,0
O_brazilian environmental institute,0,0
O_bayan automotive industries corporation,0,0
O_flinders university,0,0
O_china huawei technologies co ltd on,0,0
O_research david huether,0,0
O_dougherty company,0,0
O_cypress solutions,0,0
O_vivek arya bank,0,0
O_charles anderson doughterty company analyst,0,0
O_cirrent software,0,0
O_needham company,0,0
O_cypress semiconductor,0,0
O_cypress semiconductor corporation,0,0
O_corporate development,0,0
O_rajvindra gill needham company analyst,0,0
O_company analyst,0,0
O_crompton greaves consumer electricals limited,0,0
O_courtesy of kneen co,0,0
O_kneen co,0,0
O_fedex,0,0
O_georgetown institute for women,0,0
O_committee on women,0,0
O_kiwi property group limited,0,0
O_kiwi property group debt and its,0,0
O_kiwi property group have a good,0,0
O_kiwi property group,0,0
O_or for kiwi property group,0,0
O_alderan resources,0,0
O_company ownership,0,0
O_alderan resources limited,0,0
O_walmart,0,0
O_indian department,0,0
O_walmart inc,0,0
O_media limited,0,0
O_cambridge technology enterprises limited,0,0
O_or for cambridge technology enterprises,0,0
O_bottom line on cambridge technology enterprises,0,0
O_cambridge technology enterprises,0,0
O_amazon web services,0,0
O_geo limited,0,0
O_chem limited,0,0
O_festival automobile international,0,0
O_binani industries,0,0
O_binani industries limited,0,0
O_financial health,0,0
O_fn america,0,0
O_corporation textron systems,0,0
O_department of defense,0,0
O_sig sauer inc,0,0
O_u s army,0,0
O_army times,0,0
O_india limited,0,0
O_group holdings boast high insider ownership,0,0
O_group holdings insider transactions,0,0
O_group holdings,0,0
O_group holdings ltd,0,0
O_astral poly technik limited,0,0
O_britain royal astronomical society,0,0
O_rocket lab,0,0
O_northumbria university,0,0
O_world foundation,0,0
O_thomson reuters foundation,0,0
O_healthcare holdings limited,0,0
O_healthcare holdings debt and its,0,0
O_healthcare holdings,0,0
O_litchfield or kakadu national park,0,0
O_red centre,0,0
O_qantas,0,0
O_national parks,0,0
O_watarrkka national parks,0,0
O_softbank vision fund,0,0
O_bloomberg softbank group corp,0,0
O_linkedin,0,0
O_softbank,0,0
O_mitsubishi corp,0,0
O_tencent holdings ltd,0,0
O_york city center encores,0,0
O_capital foundation,0,0
O_adm,0,0
O_national league,0,0
